name,city,country
Alex Petrovic,"Edmonton, AB",CAN
Jeff Petry,"Ann Arbor, MI",USA
Dion Phaneuf,"Edmonton, AB",CAN
Blake Pietila,"Milford, MI",USA
Alex Pietrangelo,"King City, ON",CAN
Brandon Pirri,"Toronto, ON",CAN
Tyler Pitlick,"Minneapolis, MN",USA
Brayden Point,"Calgary, AB",CAN
Jason Pominville,"Repentigny, QC",CAN
Kevin Porter,"Detroit, MI",USA
Paul Postma,"Red Deer, AB",CAN
Andrew Poturalski,"Williamsville, NY",USA
Benoit Pouliot,"Alfred, ON",CAN
Derrick Pouliot,"Estevan, SK",CAN
Shane Prince,"Rochester, NY",USA
Nate Prosser,"Elk River, MN",USA
Dalton Prout,"Kingsville, ON",CAN
Matt Puempel,"Windsor, ON",CAN
Ryan Pulock,"Dauphin, MB",CAN
Teddy Purcell,"St. John's, NL",CAN
Tom Pyatt,"Thunder Bay, ON",CAN
Mark Pysyk,"Sherwood Park, AB",CAN
John Quenneville,"Edmonton, AB",CAN
Kyle Quincey,"Kitchener, ON",CAN
Alan Quine,"Belleville, ON",CAN
Ty Rattie,"Calgary, AB",CAN
Kyle Rau,"Eden Prairie, MN",USA
Mason Raymond,"Cochrane, AB",CAN
Matt Read,"Ilderton, ON",CAN
Ryan Reaves,"Winnipeg, MB",CAN
Zach Redmond,"Traverse City, MI",USA
Mike Reilly,"Chicago, IL",USA
Sam Reinhart,"West Vancouver, BC",CAN
Dan Renouf,"Pickering, ON",CAN
Mike Ribeiro,"Montreal, QC",CAN
Tanner Richard,"Markham, ON",CAN
Brad Richardson,"Belleville, ON",CAN
Morgan Rielly,"Vancouver, BC",CAN
Brett Ritchie,"Orangeville, ON",CAN
Nick Ritchie,"Orangeville, ON",CAN
Buddy Robinson,"Bellmawr, NJ",USA
Evan Rodrigues,"Toronto, ON",CAN
Kevin Rooney,"Canton, MA",USA
Jack Roslovic,"Columbus, OH",USA
Carter Rowney,"Grand Prairie, AB",CAN
Chad Ruhwedel,"San Diego, CA",USA
Kris Russell,"Caroline, AB",CAN
Robbie Russo,"Westmont, IL",USA
Bryan Rust,"Pontiac, MI",USA
Bobby Ryan,"Cherry Hill, NJ",USA
Derek Ryan,"Spokane, WA",USA
Brandon Saad,"Pittsburgh, PA",USA
Zach Sanford,"Salem, MA",USA
Steven Santini,"Bronxville, NY",USA
David Savard,"St. Hyacinthe, QC",CAN
Marco Scandella,"Montreal, QC",CAN
Colton Sceviour,"Red Deer, AB",CAN
Tim Schaller,"Merrimack, NH",USA
Mark Scheifele,"Kitchener, ON",CAN
Brayden Schenn,"Saskatoon, SK",CAN
Luke Schenn,"Saskatoon, SK",CAN
David Schlemko,"Edmonton, AB",CAN
Jordan Schmaltz,"Madison, WI",USA
Nick Schmaltz,"Madison, WI",USA
Nate Schmidt,"St. Cloud, MN",USA
Cole Schneider,"Williamsville, NY",USA
Jordan Schroeder,"Lakeville, MN",USA
Justin Schultz,"Kelowna, BC",CAN
Nick Schultz,"Strasbourg, SK",CAN
Jaden Schwartz,"Wilcox, SK",CAN
Brent Seabrook,"Richmond, BC",CAN
Tyler Seguin,"Brampton, ON",CAN
Tom Sestito,"Rome, NY",USA
Devin Setoguchi,"Taber, AB",CAN
Damon Severson,"Melville, SK",CAN
Michael Sgarbossa,"Campbellville, ON",CAN
Patrick Sharp,"Winnipeg, MB",CAN
Kevin Shattenkirk,"New Rochelle, NY",USA
Andrew Shaw,"Belleville, ON",CAN
Logan Shaw,"Glace Bay, NS",CAN
Riley Sheahan,"St. Catharines, ON",CAN
Conor Sheary,"Winchester, MA",USA
Hunter Shinkaruk,"Calgary, AB",CAN
Devin Shore,"Ajax, ON",CAN
Drew Shore,"Denver, CO",USA
Nick Shore,"Denver, CO",USA
Duncan Siemens,"Edmonton, AB",CAN
Wayne Simmonds,"Scarborough, ON",CAN
Dillon Simpson,"Edmonton, AB",CAN
Colton Sissons,"North Vancouver, BC",CAN
Jack Skille,"Madison, WI",USA
Jeff Skinner,"Toronto, ON",CAN
Brady Skjei,"Lakeville, MN",USA
Jaccob Slavin,"Denver, CO",USA
Ben Smith,"Winston-Salem, NC",USA
Brendan Smith,"Mimico, ON",CAN
C.J. Smith,"Des Moines, IA",USA
Craig Smith,"Madison, WI",USA
Gemel Smith,"Toronto, ON",CAN
Reilly Smith,"Toronto, ON",CAN
Trevor Smith,"Ottawa, ON",CAN
Zack Smith,"Maple Creek, SK",CAN
Devante Smith-Pelly,"Scarborough, ON",CAN
Blake Speers,"Sault Ste. Marie, ON",CAN
Jason Spezza,"Toronto, ON",CAN
Ryan Spooner,"Ottawa, ON",CAN
Ryan Sproul,"Mississauga, ON",CAN
Jared Spurgeon,"Edmonton, AB",CAN
Eric Staal,"Thunder Bay, ON",CAN
Jordan Staal,"Thunder Bay, ON",CAN
Marc Staal,"Thunder Bay, ON",CAN
Drew Stafford,"Milwaukee, WI",USA
Matt Stajan,"Mississauga, ON",CAN
Steven Stamkos,"Markham, ON",CAN
Paul Stastny,"Quebec City, QC",CAN
Troy Stecher,"Richmond, BC",CAN
Alex Steen,"Winnipeg, MB",CAN
Lee Stempniak,"West Seneca, NY",USA
Derek Stepan,"Hastings, MN",USA
Chandler Stephenson,"Saskatoon, SK",CAN
Chris Stewart,"Toronto, ON",CAN
Karl Stollery,"Camrose, AB",CAN
Mark Stone,"Winnipeg, MB",CAN
Michael Stone,"Winnipeg, MB",CAN
Clayton Stoner,"Port McNeill, BC",CAN
Brian Strait,"Waltham, MA",USA
Ben Street,"Coquitlam, BC",CAN
Dylan Strome,"Mississauga, ON",CAN
Ryan Strome,"Mississauga, ON",CAN
Mark Stuart,"Rochester, MN",USA
P.K. Subban,"Toronto, ON",CAN
Ryan Suter,"Madison, WI",USA
Brandon Sutter,"Huntington, NY",USA
Brandon Tanev,"Toronto, ON",CAN
Chris Tanev,"Toronto, ON",CAN
John Tavares,"Mississauga, ON",CAN
Matt Tennyson,"Minneapolis, MN",USA
Chris Terry,"Brampton, ON",CAN
Shea Theodore,"Langley, BC",CAN
Nate Thompson,"Anchorage, AK",USA
Paul Thompson,"Methuen, MA",USA
Ben Thomson,"Brampton, ON",CAN
Chris Thorburn,"Sault Ste. Marie, ON",CAN
Joe Thornton,"London, ON",CAN
Shawn Thornton,"Oshawa, ON",CAN
Chris Tierney,"Keswick, ON",CAN
Matthew Tkachuk,"Scottsdale, AZ",USA
Jonathan Toews,"Winnipeg, MB",CAN
Tyler Toffoli,"Scarborough, ON",CAN
Jordin Tootoo,"Churchill, MB",CAN
