Date,Dist,Duration,Pace,Speed,Shorts,Shirt,Notes,Temp Start,Temp End,Temp,Start Time,Bike?,Sleep,Game,Game 2wk,,Run Total,Run Pace,Run Diff,,Game Total,Game Pace,Game Dif,,Dif,,,,,,,,,
"Monday, June 6, 16",,,,,,,,,,,,,,,0,,123.91,129.5,-5.6,,72.1,129.5,57.4,,51.8,,,,,,,,,
"Tuesday, June 7, 16",8,38.67,4:50,12.41,Saucony,HH,"1/2 Banana 50 min before, woke up loud noise",14,13,13.5,9:15,,7.5,,0,,131.91,130.3,1.6,,72.1,130.3,58.2,,59.8,,,,,,,,,
"Wednesday, June 8, 16",,,,,,,,,,,,,,,0,,131.91,131.1,0.8,,72.1,131.1,59.0,,59.8,,,,,,,,,
"Thursday, June 9, 16",8,37.98,4:45,12.64,Saucony,HH,"Hungry, banana at 8ish?, wore bottom retainer",14,15,14.5,10:40,,6.5,,0,,139.91,132.0,7.9,,72.1,132.0,59.9,,67.8,,,,,,,,,
"Friday, June 10, 16",10.5,53.40,5:05,11.80,New Balance,WC2015,Done eating (oatmeal w/ toppings +apple) @ 10:20,19,20,19.5,11:40,,8,,0,,150.41,132.8,17.6,,72.1,132.8,60.7,,78.3,,,,,,,,,
"Saturday, June 11, 16",,,,,,,,,,,,,,,0,,150.41,133.6,16.8,,72.1,133.6,61.5,,78.3,,,,,,,,,
"Sunday, June 12, 16",,,,,,,,,,,,,,,0,,150.41,134.4,16.0,,72.1,134.4,62.3,,78.3,,,,,,,,,
"Monday, June 13, 16",10.5,53.22,5:04,11.84,New Balance,HH,Done eating (oatmeal w/ toppings +apple) @ 9:00,13,16,14.5,10:00,,6.5,,0,,160.91,135.2,25.7,,72.1,135.2,63.1,,88.8,,,,,,,,,
"Tuesday, June 14, 16",10.5,53.95,5:08,11.68,New Balance,WC2015,,19,20,19.5,12:40,,6.5,,0,,171.41,136.1,35.3,,72.1,136.1,64.0,,99.3,,,,,,,,,
"Wednesday, June 15, 16",,,,,,,,,,,,,,,0,,171.41,136.9,34.5,,72.1,136.9,64.8,,99.3,,,,,,,,,
"Thursday, June 16, 16",10,48.42,4:51,12.39,Saucony,HH,"Apple, 1/2 banana, bad night sleep",17,20,18.5,8:30,,4.5,,0,,181.41,137.7,43.7,,72.1,137.7,65.6,,109.3,,,,,,,,,
"Friday, June 17, 16",,,,,,,,,,,,16.38,,,0,,181.41,138.5,42.9,,72.1,138.5,66.4,,109.3,,,,,,,,,
